Dataset,size_bucket,Method,hop_distance,support,recovered,recall,kind
CellOntology_SUB,0-150,SingleCall_nomerge,2,141,15,0.10638297872340426,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,3,121,16,0.1322314049586777,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,4,92,10,0.10869565217391304,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,5,69,10,0.14492753623188406,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,6,33,3,0.09090909090909091,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,7,12,0,0.0,indirect
CellOntology_SUB,0-150,SingleCall_nomerge,8,2,0,0.0,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,1,135,40,0.2962962962962963,direct
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,2,141,50,0.3546099290780142,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,3,121,42,0.34710743801652894,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,4,92,32,0.34782608695652173,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,5,69,22,0.3188405797101449,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,6,33,10,0.30303030303030304,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,7,12,3,0.25,indirect
CellOntology_SUB,0-150,TaxoLLaMA_PPL15.0,8,2,0,0.0,indirect
CellOntology_SUB,0-150,Vector,1,135,52,0.3851851851851852,direct
CellOntology_SUB,0-150,Vector,2,141,34,0.24113475177304963,indirect
CellOntology_SUB,0-150,Vector,3,121,13,0.10743801652892562,indirect
CellOntology_SUB,0-150,Vector,4,92,8,0.08695652173913043,indirect
CellOntology_SUB,0-150,Vector,5,69,4,0.057971014492753624,indirect
CellOntology_SUB,0-150,Vector,6,33,5,0.15151515151515152,indirect
CellOntology_SUB,0-150,Vector,7,12,1,0.08333333333333333,indirect
CellOntology_SUB,0-150,Vector,8,2,1,0.5,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,1,521,161,0.30902111324376197,direct
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,2,358,29,0.08100558659217877,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,3,293,3,0.010238907849829351,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,4,258,2,0.007751937984496124,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,5,75,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,6,17,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,LLMZero,7,1,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,1,521,198,0.3800383877159309,direct
LLMs4OL_MatOnto_FULL,151-1000,Lexical,2,358,26,0.07262569832402235,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,3,293,18,0.06143344709897611,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,4,258,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,5,75,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,6,17,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,Lexical,7,1,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,1,521,460,0.8829174664107485,direct
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,2,358,313,0.8743016759776536,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,3,293,271,0.9249146757679181,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,4,258,252,0.9767441860465116,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,5,75,74,0.9866666666666667,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,6,17,17,1.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,OurMethod,7,1,1,1.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,1,521,453,0.8694817658349329,direct
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,2,358,259,0.723463687150838,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,3,293,198,0.6757679180887372,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,4,258,217,0.8410852713178295,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,5,75,67,0.8933333333333333,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,6,17,14,0.8235294117647058,indirect
LLMs4OL_MatOnto_FULL,151-1000,Our_Method_k=1000,7,1,1,1.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,1,521,138,0.2648752399232246,direct
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,2,358,20,0.055865921787709494,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,3,293,9,0.030716723549488054,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,4,258,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,5,75,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,6,17,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Batch,7,1,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,1,521,79,0.15163147792706333,direct
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,2,358,7,0.019553072625698324,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,3,293,1,0.0034129692832764505,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,4,258,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,5,75,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,6,17,0,0.0,indirect
LLMs4OL_MatOnto_FULL,151-1000,SBU_Embedding,7,1,0,0.0,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m1,1,90,71,0.7888888888888889,direct
LLMs4OL_MatOnto_SUB,0-150,Density_m1,2,62,45,0.7258064516129032,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m1,3,53,40,0.7547169811320755,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m1,4,45,36,0.8,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m1,5,16,13,0.8125,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m1,6,3,2,0.6666666666666666,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m10,1,90,60,0.6666666666666666,direct
LLMs4OL_MatOnto_SUB,0-150,Density_m10,2,62,31,0.5,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m10,3,53,15,0.2830188679245283,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m10,4,45,3,0.06666666666666667,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m10,5,16,1,0.0625,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m10,6,3,0,0.0,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m100,1,90,60,0.6666666666666666,direct
LLMs4OL_MatOnto_SUB,0-150,Density_m100,2,62,36,0.5806451612903226,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m100,3,53,40,0.7547169811320755,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m100,4,45,22,0.4888888888888889,indirect
LLMs4OL_MatOnto_SUB,0-150,Density_m100,5,16,5,0.3125,indirect
