Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
Our_Method_+restructure_ranked_k1000_clawback0,4,2,0,0,95,95,,1.0,
Our_Method_+restructure_ranked_top25_k1000_clawback0,1,1025,6050,4968,5689,3469,0.8211570247933885,0.6097732466162771,0.6998518306510474
Our_Method_+restructure_ranked_top25_k1000_clawback0,2,30,0,0,412,257,,0.6237864077669902,
Our_Method_+restructure_ranked_top25_k1000_clawback0,3,2,0,0,121,62,,0.512396694214876,
Our_Method_+restructure_ranked_top25_k1000_clawback0,7,1,0,0,88,88,,1.0,
Our_Method_+restructure_ranked_top25_k1000_clawback0,9,1,0,0,86,86,,1.0,
Our_Method_alt_Prompt_k1000_clawback0,1,1023,6050,5334,9151,4449,0.8816528925619834,0.48617637416675774,0.6267431425919677
Our_Method_alt_Prompt_k1000_clawback0,2,19,0,0,472,238,,0.5042372881355932,
Our_Method_alt_Prompt_k1000_clawback0,3,4,0,0,70,14,,0.2,
Our_Method_alt_Prompt_k1000_clawback0,4,3,0,0,185,129,,0.6972972972972973,
Our_Method_alt_Prompt_k=1000,1,997,6050,2330,3857,2273,0.3851239669421488,0.5893181228934405,0.465826621503831
Our_Method_alt_Prompt_k=1000,2,2,0,0,20,14,,0.7,
Our_Method_alt_Prompt_k=1000,4,1,0,0,3,3,,1.0,
Our_Method_direct_k1000_clawback0,1,1012,6050,5370,8302,4445,0.8876033057851239,0.5354131534569984,0.6679254928960872
Our_Method_direct_k1000_clawback0,2,7,0,0,166,74,,0.4457831325301205,
Our_Method_direct_k1000_clawback0,3,4,0,0,100,57,,0.57,
Our_Method_direct_k1000_clawback0,4,3,0,0,173,170,,0.9826589595375722,
Our_Method_direct_k1000_clawback0,6,1,0,0,87,38,,0.4367816091954023,
Our_Method_full_json_k1000_clawback0,1,1015,6050,4958,6238,3760,0.819504132231405,0.6027572940044886,0.6946150462318321
Our_Method_full_json_k1000_clawback0,2,16,0,0,330,223,,0.6757575757575758,
Our_Method_full_json_k1000_clawback0,3,2,0,0,95,94,,0.9894736842105263,
Our_Method_full_json_k1000_clawback0,4,1,0,0,84,84,,1.0,
Our_Method_full_json_k1000_clawback0,5,1,0,0,84,48,,0.5714285714285714,
Our_Method_full_json_k1000_clawback0,6,1,0,0,93,61,,0.6559139784946236,
Our_Method_full_k1000_clawback0,1,1019,6050,5132,7291,4044,0.8482644628099174,0.5546564257303525,0.6707368018531303
Our_Method_full_k1000_clawback0,2,22,0,0,228,94,,0.41228070175438597,
Our_Method_full_k1000_clawback0,3,1,0,0,4,1,,0.25,
Our_Method_full_k1000_clawback0,4,1,0,0,94,94,,1.0,
Our_Method_full_k1000_clawback0,5,1,0,0,90,89,,0.9888888888888889,
Our_Method_full_k1000_clawback0,6,1,0,0,91,90,,0.989010989010989,
Our_Method_isa_k1000_clawback0,1,1023,6050,5172,7641,4365,0.8548760330578512,0.5712603062426383,0.684866840548577
Our_Method_isa_k1000_clawback0,2,19,0,0,326,172,,0.5276073619631901,
Our_Method_isa_k1000_clawback0,3,5,0,0,143,79,,0.5524475524475524,
Our_Method_isa_k1000_clawback0,4,2,0,0,114,104,,0.9122807017543859,
Our_Method_k1000_clawback0,1,1007,6050,5424,7747,5147,0.8965289256198347,0.6643862140183296,0.7631951840617783
Our_Method_k1000_clawback0,2,10,0,0,227,179,,0.788546255506608,
