Dataset,Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
WordNetFood_SUB,SingleCall_gemma4b,1,100,678,440,508,440,0.6489675516224189,0.8661417322834646,0.7419898819561552
WordNetFood_SUB,SingleCall_matched,1,100,678,376,646,376,0.5545722713864307,0.5820433436532507,0.56797583081571
WordNetFood_SUB,SingleCall_nomerge,1,100,678,376,436,376,0.5545722713864307,0.8623853211009175,0.6750448833034112
WordNetFood_SUB,TaxoLLaMA_PPL15.0,1,100,678,298,574,298,0.43952802359882004,0.519163763066202,0.47603833865814693
WordNetFood_SUB,Vector,1,100,678,36,52,36,0.05309734513274336,0.6923076923076923,0.09863013698630137
medium_components_FULL,LLMZero,1,102,362,204,176,134,0.56353591160221,0.7613636363636364,0.6476804245841824
medium_components_FULL,LLMZero,4,1,0,0,54,54,,1.0,
medium_components_FULL,OurMethod,1,103,362,276,314,272,0.7624309392265194,0.8662420382165605,0.8110280454604382
medium_components_FULL,OurMethod,3,1,0,0,2,0,,0.0,
medium_components_FULL,Our_Method_k=1000,1,102,362,236,245,233,0.6519337016574586,0.9510204081632653,0.7735745536907559
medium_components_FULL,Our_Method_k=1000,2,1,0,0,1,1,,1.0,
medium_components_FULL,SBU_Batch,1,102,362,30,30,30,0.08287292817679558,1.0,0.15306122448979592
medium_components_SUB,LLMZero,1,100,356,180,184,180,0.5056179775280899,0.9782608695652174,0.6666666666666667
medium_components_SUB,Lexical,1,100,356,42,42,42,0.11797752808988764,1.0,0.21105527638190955
medium_components_SUB,OurMethod,1,101,356,270,288,263,0.7584269662921348,0.9131944444444444,0.8286461129133894
medium_components_SUB,OurMethod,2,1,0,0,2,1,,0.5,
medium_components_SUB,Our_Method_+restructure_k1000_clawback0,1,102,356,286,294,278,0.8033707865168539,0.9455782312925171,0.8686930489696917
medium_components_SUB,Our_Method_+restructure_k1000_clawback0,2,2,0,0,2,2,,1.0,
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1,102,356,278,293,270,0.7808988764044944,0.9215017064846417,0.8453940329102234
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1,102,356,288,301,280,0.8089887640449438,0.9302325581395349,0.8653846153846153
